39 18060 63551
0 0     1.597070e+03 4.733700e+02
1 0     7.217000e+02 5.229800e+02
2 0     5.779100e+02 4.318900e+02
3 0     6.169000e+02 6.129000e+02
7 0     8.902600e+02 5.648201e+02
12 0     -2.527600e+02 -2.743400e+02
16 0     9.836899e+02 5.389399e+02
17 0     -1.284400e+03 1.003560e+03
0 1     1.641870e+03 4.786300e+02
1 1     7.861699e+02 5.273800e+02
2 1     6.186100e+02 4.345701e+02
3 1     6.792100e+02 6.162900e+02
7 1     9.178999e+02 5.671500e+02
12 1     -2.264399e+02 -2.726400e+02
24 1     8.753003e+01 1.097600e+02
25 1     -5.370900e+02 -8.382996e+01
26 1     5.752700e+02 4.377300e+02
27 1     -1.109550e+03 5.633400e+02
28 1     -7.633200e+02 -3.143005e+01
32 1     7.647500e+02 3.171000e+02
0 2     6.032400e+02 2.375701e+02
1 2     -8.372900e+02 2.858401e+02
33 2     -7.559600e+02 3.473401e+02
0 3     1.549640e+03 2.853800e+02
1 3     9.312700e+02 2.975400e+02
2 3     7.276000e+02 1.751200e+02
4 3     1.483550e+03 3.825300e+02
5 3     1.170520e+03 8.879800e+02
6 3     8.161500e+02 1.737700e+02
7 3     8.932500e+02 3.960500e+02
8 3     7.967200e+02 3.767800e+02
16 3     9.576899e+02 4.048600e+02
17 3     -1.000180e+03 5.937000e+02
25 3     -4.062000e+02 -2.669000e+02
26 3     5.208800e+02 2.699900e+02
27 3     -9.723700e+02 3.583700e+02
28 3     -5.845600e+02 -1.991700e+02
29 3     -7.814600e+02 1.548500e+02
32 3     7.678800e+02 1.636799e+02
38 3     5.438199e+02 3.596000e+02
0 4     1.682800e+03 4.789399e+02
1 4     8.453701e+02 5.229399e+02
2 4     6.598400e+02 4.310000e+02
3 4     7.373700e+02 6.103500e+02
7 4     9.474800e+02 5.659600e+02
12 4     -2.008000e+02 -2.750601e+02
17 4     -1.154410e+03 9.952600e+02
18 4     2.812000e+01 1.941100e+02
20 4     2.778003e+01 -2.881006e+01
24 4     1.051000e+02 1.076400e+02
25 4     -5.074500e+02 -8.752002e+01
26 4     6.058500e+02 4.359800e+02
27 4     -1.075980e+03 5.576200e+02
32 4     7.930801e+02 3.146400e+02
0 5     1.662390e+03 4.820500e+02
1 5     8.192600e+02 5.325300e+02
2 5     6.422000e+02 4.397300e+02
3 5     7.134900e+02 6.212500e+02
6 5     8.194301e+02 3.269200e+02
7 5     9.331001e+02 5.703201e+02
12 5     -2.128500e+02 -2.709800e+02
17 5     -1.181620e+03 1.007340e+03
18 5     1.908997e+01 1.970601e+02
24 5     9.734998e+01 1.121600e+02
25 5     -5.207300e+02 -8.152002e+01
26 5     5.901801e+02 4.405800e+02
27 5     -1.089510e+03 5.638000e+02
28 5     -7.476600e+02 -3.130005e+01
32 5     7.807700e+02 3.188700e+02
0 6     5.385701e+02 4.054299e+02
1 6     -9.477700e+02 6.604500e+02
2 6     -2.968600e+02 3.553900e+02
4 6     8.799199e+02 4.434000e+02
5 6     4.124000e+02 8.607800e+02
7 6     2.339000e+02 4.944199e+02
8 6     -7.436600e+02 6.023000e+02
10 6     -2.499200e+02 -2.470100e+02
11 6     3.185699e+02 3.400700e+02
18 6     -4.786700e+02 1.381500e+02
21 6     -6.314001e+01 3.747700e+02
24 6     -3.161700e+02 7.721002e+01
32 6     -4.193005e+01 3.158101e+02
33 6     -7.933100e+02 5.017800e+02
0 7     1.662660e+03 4.690901e+02
1 7     8.166499e+02 5.083800e+02
2 7     6.412700e+02 4.224200e+02
3 7     7.098500e+02 5.958500e+02
18 7     1.881006e+01 1.897300e+02
24 7     9.652002e+01 1.032400e+02
26 7     5.909900e+02 4.290601e+02
32 7     7.801599e+02 3.083101e+02
0 8     4.515300e+02 4.381400e+02
1 8     -1.130420e+03 7.559600e+02
2 8     -3.760200e+02 3.953500e+02
4 8     8.290100e+02 4.585801e+02
7 8     1.801600e+02 5.169399e+02
8 8     -8.904300e+02 6.598300e+02
9 8     -3.969200e+02 4.367100e+02
10 8     -2.955900e+02 -2.272000e+02
11 8     2.599100e+02 3.658500e+02
12 8     -9.223100e+02 -3.233000e+02
18 8     -5.177400e+02 1.566599e+02
20 8     -4.393500e+02 -6.360999e+01
32 8     -1.125300e+02 3.505300e+02
0 9     1.696480e+03 1.835200e+02
1 9     1.206880e+03 1.171899e+02
7 9     9.820500e+02 3.247400e+02
8 9     9.981000e+02 2.198600e+02
9 9     5.838101e+02 2.006500e+02
10 9     4.024399e+02 -3.961500e+02
12 9     -1.516400e+02 -5.225601e+02
17 9     -7.707200e+02 4.233700e+02
18 9     8.810999e+01 -3.489990e+00
26 9     6.238800e+02 1.862600e+02
27 9     -8.567100e+02 2.711899e+02
31 9     -5.881500e+02 2.241699e+02
32 9     8.793601e+02 7.834998e+01
0 10     1.696480e+03 1.835200e+02
1 10     1.206880e+03 1.171899e+02
6 10     1.014670e+03 4.053003e+01
8 10     9.981000e+02 2.198600e+02
9 10     5.838101e+02 2.006500e+02
10 10     4.024399e+02 -3.961500e+02
12 10     -1.516400e+02 -5.225601e+02
17 10     -7.706300e+02 4.232200e+02
18 10     8.810999e+01 -3.489990e+00
20 10     8.234998e+01 -1.982800e+02
